"Business Name","Street","City","State","ZIP","Branch 1","Branch 1 Address","Branch 1 Proximity (miles)","Branch 2","Branch 2 Address","Branch 2 Proximity (miles)","Branch 3","Branch 3 Address","Branch 3 Proximity (miles)","Branch 4","Branch 4 Address","Branch 4 Proximity (miles)","Branch 5","Branch 5 Address","Branch 5 Proximity (miles)","Reps 1","Reps 1 Phone","Reps 1 Email","Reps 2","Reps 2 Phone","Reps 2 Email","Reps 3","Reps 3 Phone","Reps 3 Email","Reps 4","Reps 4 Phone","Reps 4 Email","Reps 5","Reps 5 Phone","Reps 5 Email","Manager",""
"Sams West Inc.","2405 S Caraway Rd","Jonesboro","AR","72401","Branch 2967","2235 COVINGTON PIKE, #6 MEMPHIS TN 38128","62","Branch 0842","5901 Shelby Oaks Dr STE 175 Memphis TN 38134","64","Branch 1287","4338 AMERICAN WAY MEMPHIS TN 38118","67","","","Brian Carter 64.0 miles","901-553-5196","bcarter1@peopleready.com","","","","","","","","","","","","","Troy Rodgers","Patty Musolf","","","",""
"Wal-Mart Stores Inc.","19301 Cantrell Rd","Little Rock","AR","72223","Branch 2132","1400 S. UNIVERSITY AVE LITTLE ROCK AR 72204","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","2510 Cantrell Rd","Little Rock","AR","72202","Branch 2132","1400 S. UNIVERSITY AVE LITTLE ROCK AR 72204","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","2700 S Shackleford Rd","Little Rock","AR","72205","Branch 2132","1400 S. UNIVERSITY AVE LITTLE ROCK AR 72204","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","8801 Baseline Rd","Little Rock","AR","72209","Branch 2132","1400 S. UNIVERSITY AVE LITTLE ROCK AR 72204","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sams West Inc.","900 S Bowman Rd","Little Rock","AR","72211","Branch 2132","1400 S. UNIVERSITY AVE LITTLE ROCK AR 72204","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","322 Brownsville Loop","Lonoke","AR","72086","Branch 2132","1400 S. UNIVERSITY AVE LITTLE ROCK AR 72204","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","60 Highway 79 N","Magnolia","AR","71753","Branch 1242","1406 SOUTHERN AVE SHREVEPORT LA 71101-","60","Branch 2591","2103 WASHINGTON ST. MONROE LA 71201","83","Branch 2177","Grand Prairie TX 75550","98","Branch 2980","440 N Eastman Rd Ste B LONGVIEW TX 75601-","100","","","","","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","1910 Martin Luther King Blvd","Malvern","AR","72104","Branch 2132","1400 S. UNIVERSITY AVE LITTLE ROCK AR 72204","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","8713 64th St Ne","Marysville","AR","98270","Branch 1106","210 SW EVERETT MALL WAY, SUITE A EVERETT WA 98204","11","Branch 44","3611 196th St. SW Suite 122 Lynnwood WA 98036","18","Branch 8011","2222 RIVERSIDE DRIVE, #202 Mount Vernon WA 98273","28","Branch 1104","624 SOUTH DEARBORN ST SEATTLE WA 98134","33","Branch 1107","1500 RIDDELL RD STE-F BREMERTON WA 98310","38","Andrew Bound 33.0 miles","206-643-3786","abound@peopleready.com","Trevor Carroll 33.0 miles","206-381-1623","tcarroll@peopleready.com","Michael Fuller 40.1 miles","253-590-9317","mfuller@peopleready.com","Jack Schuoler 40.1 miles","425-220-0277","jschuoler@peopleready.com","","","","Maura Loring","Jay Reid"
"Wal-Mart Stores Inc.","117 Audubon Dr","Maumelle","AR","72113","Branch 2132","1400 S. UNIVERSITY AVE LITTLE ROCK AR 72204","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","1966 Highway 65 N","Mc Gehee","AR","71654","Branch 2591","2103 WASHINGTON ST. MONROE LA 71201","88","Branch 2132","1400 S. UNIVERSITY AVE LITTLE ROCK AR 72204","92","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","600 Highway 71 N","Mena","AR","71953","Branch 8007","1800 C ST S FORT SMITH AR 72901","56","Branch 2177","Grand Prairie TX 75550","83","","","","","","","","","","","","","","","","","","","","","","","","","",""
